exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,exp11,exp12,exp13,exp14,exp15,exp16,exp17,exp18
1.716485596,1.690412754,1.778658289,1.721592242,1.740239149,1.714553129673004,1.7069061756134034,1.7022865653038024,1.6621857911348343,2.163706117868424,1.7439964771270753,2.7197255551815034,1.694733875989914,1.6882938951253892,1.943593043088913,1.6810480773448944,0.433747275173664,0.6380062907934189
1.553472298,1.604822516,1.651598239,1.632257652,1.652401978,1.6187361836433412,1.5924945056438446,1.5983911812305451,1.5669284135103223,1.634895247220993,1.5484299540519717,1.7737452805042266,1.5588952004909515,1.6980045825242995,2.007068693637848,1.5576586306095124,0.4339977070689201,0.6174544274806977
1.472332376,1.565064251,1.601948071,1.598130029,1.591075683,1.599002742767334,1.531925529241562,1.5613501965999603,1.4907890737056733,1.5822155833244325,1.589680904150009,1.7211133062839508,1.5045985877513883,1.681643208861351,2.005508488416672,1.5324932515621186,0.3850911617279052,0.5951443806290626
1.394144076,1.529691809,1.600771028,1.567149633,1.588393986,1.5652904987335206,1.503018468618393,1.531778210401535,1.4277134269475935,1.5359277218580245,1.4260438323020934,1.6798619747161865,1.459776121377945,1.4661248952150343,1.9863680064678195,1.5201396346092224,0.3881702244281769,0.6092461362481117
1.300274795,1.489918691,1.595125407,1.566933393,1.563004702,1.5381491303443908,1.4572159111499787,1.4913434028625487,1.3982504323124885,1.5210373461246491,1.4079487144947052,1.667502409219742,1.4156918108463288,1.4646477907896045,1.9645026803016663,1.4632608413696289,0.4417387455701828,0.6185012176632881
1.178968173,1.46368711,1.568108261,1.556965786,1.565959126,1.529284405708313,1.4334706246852875,1.4730755627155303,1.3543169021606445,1.462540763616562,1.3281787097454072,1.66784605383873,1.3764533042907714,1.426690797507763,1.9117859721183776,1.4913839995861051,0.4625787109136581,0.6200441911816597
1.072751999,1.437569892,1.556624579,1.537513858,1.54429121,1.50328688621521,1.385488086938858,1.4362260341644286,1.3108171984553336,1.48265860080719,1.3080925226211548,1.6662878930568694,1.3266329556703569,1.3683696165680883,1.8265087127685544,1.4273315787315368,0.5201307371258735,0.6297131687402725
0.912178624,1.415355599,1.540578884,1.532228309,1.536491615,1.4961386561393737,1.3470785439014434,1.4291055619716644,1.2783142760396005,1.4364711821079257,1.2618431508541108,1.6606543123722075,1.2713571280241012,1.2815711334347726,1.7495063424110413,1.3551072776317596,0.4067259117960929,0.6149245113134384
0.784035614,1.390916342,1.549197656,1.521103424,1.509591717,1.4686590433120728,1.3367567658424375,1.3760920941829682,1.2365209862589837,1.4074017584323884,1.290740787982941,1.6599188685417174,1.2181369751691815,1.3530823543667794,1.6401919901371005,1.3221623331308363,0.4490971893072128,0.5712857499718667
0.692912182,1.339540178,1.543989474,1.50850094,1.51346432,1.466792929172516,1.2706784695386886,1.3466809153556825,1.2529640182852746,1.411538913846016,1.256366741657257,1.636338049173355,1.2113167822360993,1.3567391201853751,1.5697871446609497,1.4201703131198884,0.4673392951488495,0.5553329944610595
